year,city,country,avg_temp
1841,Shanghai,China,14.87
1842,Shanghai,China,15.43
1843,Shanghai,China,15.53
1844,Shanghai,China,15.33
1845,Shanghai,China,15.43
1846,Shanghai,China,15.85
1847,Shanghai,China,15.78
1848,Shanghai,China,15.02
1849,Shanghai,China,15.44
1850,Shanghai,China,15.60
1851,Shanghai,China,15.22
1852,Shanghai,China,15.44
1853,Shanghai,China,15.79
1854,Shanghai,China,15.99
1855,Shanghai,China,15.84
1856,Shanghai,China,15.55
1857,Shanghai,China,15.93
1858,Shanghai,China,15.49
1859,Shanghai,China,15.64
1860,Shanghai,China,15.05
1861,Shanghai,China,15.29
1862,Shanghai,China,14.47
1863,Shanghai,China,15.20
1864,Shanghai,China,14.85
1865,Shanghai,China,15.72
1866,Shanghai,China,15.54
1867,Shanghai,China,15.95
1868,Shanghai,China,15.86
1869,Shanghai,China,16.09
1870,Shanghai,China,15.95
1871,Shanghai,China,16.31
1872,Shanghai,China,16.12
1873,Shanghai,China,15.74
1874,Shanghai,China,15.68
1875,Shanghai,China,15.47
1876,Shanghai,China,15.60
1877,Shanghai,China,15.43
1878,Shanghai,China,15.46
1879,Shanghai,China,16.13
1880,Shanghai,China,15.28
1881,Shanghai,China,15.63
1882,Shanghai,China,15.54
1883,Shanghai,China,15.41
1884,Shanghai,China,14.92
1885,Shanghai,China,14.91
1886,Shanghai,China,15.06
1887,Shanghai,China,15.65
1888,Shanghai,China,15.87
1889,Shanghai,China,15.30
1890,Shanghai,China,16.22
1891,Shanghai,China,15.72
1892,Shanghai,China,15.43
1893,Shanghai,China,15.13
1894,Shanghai,China,16.23
1895,Shanghai,China,15.27
1896,Shanghai,China,15.73
1897,Shanghai,China,15.60
1898,Shanghai,China,16.33
1899,Shanghai,China,15.84
1900,Shanghai,China,15.80
1901,Shanghai,China,15.26
1902,Shanghai,China,16.27
1903,Shanghai,China,15.56
1904,Shanghai,China,15.64
1905,Shanghai,China,15.50
1906,Shanghai,China,15.50
1907,Shanghai,China,15.57
1908,Shanghai,China,15.67
1909,Shanghai,China,15.84
1910,Shanghai,China,15.26
1911,Shanghai,China,15.48
1912,Shanghai,China,15.61
1913,Shanghai,China,15.36
1914,Shanghai,China,16.52
1915,Shanghai,China,16.11
1916,Shanghai,China,15.75
1917,Shanghai,China,15.09
1918,Shanghai,China,15.55
1919,Shanghai,China,15.93
1920,Shanghai,China,16.02
1921,Shanghai,China,15.58
1922,Shanghai,China,16.11
1923,Shanghai,China,15.77
1924,Shanghai,China,15.72
1925,Shanghai,China,15.65
1926,Shanghai,China,16.04
1927,Shanghai,China,16.13
1928,Shanghai,China,16.03
1929,Shanghai,China,15.96
1930,Shanghai,China,16.06
1931,Shanghai,China,15.64
1932,Shanghai,China,16.04
1933,Shanghai,China,15.91
1934,Shanghai,China,15.85
1935,Shanghai,China,16.33
1936,Shanghai,China,15.28
1937,Shanghai,China,16.09
1938,Shanghai,China,16.32
1939,Shanghai,China,16.13
1940,Shanghai,China,16.25
1941,Shanghai,China,16.39
1942,Shanghai,China,16.21
1943,Shanghai,China,16.01
1944,Shanghai,China,16.14
1945,Shanghai,China,15.91
1946,Shanghai,China,16.70
1947,Shanghai,China,15.87
1948,Shanghai,China,16.49
1949,Shanghai,China,16.56
1950,Shanghai,China,16.40
1951,Shanghai,China,16.18
1952,Shanghai,China,16.10
1953,Shanghai,China,17.03
1954,Shanghai,China,15.85
1955,Shanghai,China,16.06
1956,Shanghai,China,15.61
1957,Shanghai,China,15.60
1958,Shanghai,China,16.07
1959,Shanghai,China,16.54
1960,Shanghai,China,16.60
1961,Shanghai,China,17.02
1962,Shanghai,China,16.11
1963,Shanghai,China,16.20
1964,Shanghai,China,16.58
1965,Shanghai,China,16.06
1966,Shanghai,China,16.50
1967,Shanghai,China,16.05
1968,Shanghai,China,16.13
1969,Shanghai,China,15.64
1970,Shanghai,China,15.82
1971,Shanghai,China,16.22
1972,Shanghai,China,15.71
1973,Shanghai,China,16.32
1974,Shanghai,China,15.93
1975,Shanghai,China,16.48
1976,Shanghai,China,15.71
1977,Shanghai,China,16.17
1978,Shanghai,China,16.67
1979,Shanghai,China,16.54
1980,Shanghai,China,15.57
1981,Shanghai,China,15.91
1982,Shanghai,China,16.20
1983,Shanghai,China,16.22
1984,Shanghai,China,15.80
1985,Shanghai,China,16.04
1986,Shanghai,China,15.94
1987,Shanghai,China,16.19
1988,Shanghai,China,16.17
1989,Shanghai,China,16.24
1990,Shanghai,China,17.26
1991,Shanghai,China,16.14
1992,Shanghai,China,16.14
1993,Shanghai,China,15.98
1994,Shanghai,China,17.34
1995,Shanghai,China,16.36
1996,Shanghai,China,16.21
1997,Shanghai,China,16.76
1998,Shanghai,China,17.56
1999,Shanghai,China,16.68
2000,Shanghai,China,16.90
2001,Shanghai,China,16.93
2002,Shanghai,China,17.22
2003,Shanghai,China,16.74
2004,Shanghai,China,17.24
2005,Shanghai,China,16.75
2006,Shanghai,China,17.41
2007,Shanghai,China,17.63
2008,Shanghai,China,16.72
2009,Shanghai,China,17.01
2010,Shanghai,China,16.75
2011,Shanghai,China,16.52
2012,Shanghai,China,16.47
2013,Shanghai,China,17.86
